index,teks,aspek,sentimen,waktu
25797,cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 07:42:25
25798,drivernya profesional dan amanah.,Perilaku & Profesionalisme Driver,Positif,2024-09-30 07:31:42
25799,Aplikasi tolol .. bikin payment non cash tapi gak bisa di gunakan pesan makanan,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-30 07:07:49
25800,Aplikasi tolol .. bikin payment non cash tapi gak bisa di gunakan pesan makanan,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-09-30 07:07:49
25801,Aplikasi tolol .. bikin payment non cash tapi gak bisa di gunakan pesan makanan,Sistem Pembayaran & Promo,Negatif,2024-09-30 07:07:49
25802,pelayanan sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 06:49:23
25803,baik nyaman ramah murah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 06:32:00
25804,baik nyaman ramah murah,Harga & Tarif,Positif,2024-09-30 06:32:00
25805,aplikasinya bagus,UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-30 06:08:24
25806,maxim mmg luar biasa orgnya sabar TDK pernah bosan selalu memakai jasanya,Perilaku & Profesionalisme Driver,Positif,2024-09-30 06:04:58
25807,maxim mmg luar biasa orgnya sabar TDK pernah bosan selalu memakai jasanya,Umum,Positif,2024-09-30 06:04:58
25808,pelayanan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 05:55:44
25809,memuaskan pelayanan terbaik,Umum,Positif,2024-09-30 05:53:39
25810,"trim, s kasi driver cepat, dan amanah...",Ketersediaan Driver (Lama Menunggu),Positif,2024-09-30 05:34:10
25811,"trim, s kasi driver cepat, dan amanah...",Perilaku & Profesionalisme Driver,Positif,2024-09-30 05:34:10
25812,cepat dan murah,Ketersediaan Driver (Lama Menunggu),Positif,2024-09-30 05:06:06
25813,cepat dan murah,Harga & Tarif,Positif,2024-09-30 05:06:06
25814,Verifikasi SMS kenapa susah?????? Saya butuh cuma gara verifikasi ga bisa pesan hadeh grab gojek sudah bisa verivikasi wa hadeh,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-30 05:03:50
25815,sangat ramah dan menyenangkan,Perilaku & Profesionalisme Driver,Positif,2024-09-30 04:46:34
25816,Terima kasih pak semoga rejekinya lancar terus,Umum,Positif,2024-09-30 04:34:43
25817,"cepat, tepat, dan selamat 😀👍",Umum,Positif,2024-09-30 04:29:46
25818,"CACAD, DISKON TIDAK BISA DICAIRKAN MENJADI GO-PAY ATO CASH",Sistem Pembayaran & Promo,Negatif,2024-09-30 04:21:19
25819,perlu d tingkatkan maps agar tidak rancu,Akurasi GPS & Peta,Negatif,2024-09-30 04:18:59
25820,"Maxim membantu kami yang hendak bepergian, harganya juga terjangkau. Terus tingkatkan kualitas Anda y, Maxim! ;)",Customer Service,Positif,2024-09-30 04:07:23
25821,"Maxim membantu kami yang hendak bepergian, harganya juga terjangkau. Terus tingkatkan kualitas Anda y, Maxim! ;)",Harga & Tarif,Positif,2024-09-30 04:07:23
25822,driver y ramah dan baik.Terimakasih Maxim,Perilaku & Profesionalisme Driver,Positif,2024-09-30 04:05:46
25823,"terimakasih kak, Alhamdulillah dapat orang baik.benar2 sangat membantu sy.terimakasih banyak kak",Perilaku & Profesionalisme Driver,Positif,2024-09-30 03:53:17
25824,"terimakasih kak, Alhamdulillah dapat orang baik.benar2 sangat membantu sy.terimakasih banyak kak",Umum,Positif,2024-09-30 03:53:17
25825,pengemudi nya sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 03:45:43
25826,terimakasih atas layanan terbaiknya untuk Maxim. semoga Seukses selalu,Umum,Positif,2024-09-30 03:39:40
25827,"nyaman 😊, trima kasih bg maksimal",Umum,Positif,2024-09-30 03:10:31
25828,Maxim carnya 4 jam gk dapat dapat,Ketersediaan Driver (Lama Menunggu),Negatif,2024-09-30 03:07:44
25829,pelayanannya sangat baik,Customer Service,Positif,2024-09-30 03:05:38
25830,safety cepat tepat,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-30 03:01:12
25831,baik ramah dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-09-30 02:57:15
25832,layanan baik 👍,Umum,Positif,2024-09-30 02:51:51
25833,mantap pelayanan SATSET,Umum,Positif,2024-09-30 02:44:12
25834,driver nya mantap,Perilaku & Profesionalisme Driver,Positif,2024-09-30 02:31:29
25835,paling memadai apalagi harga nya bener² murah,Harga & Tarif,Positif,2024-09-30 02:23:24
25836,paling memadai apalagi harga nya bener² murah,Umum,Positif,2024-09-30 02:23:24
25837,"Tidak bisa mengakses lokasi, udah ditandai titik lokasinya tapi gak bisa, malah ke GG sebelah, tujuannya pun udah udah jelas ,eeh gak bisa juga hadehh",Akurasi GPS & Peta,Negatif,2024-09-30 02:13:41
25838,nyari titiknya susah lebih di upgrade lagi,Akurasi GPS & Peta,Negatif,2024-09-30 01:51:10
25839,walaupun ga jd naik tp sy akan ttp ksh bintang 5 karna mreka telah siap ....,Umum,Positif,2024-09-30 01:46:58
25840,driver baik dan ramah👍🙏,Perilaku & Profesionalisme Driver,Positif,2024-09-30 01:42:47
25841,"pelayanan baik, di jalan juga hati hati",Customer Service,Positif,2024-09-30 01:40:54
25842,"pelayanan baik, di jalan juga hati hati",Perilaku & Profesionalisme Driver,Positif,2024-09-30 01:40:54
25843,tq maxim selalu melayani dengan baik,Umum,Positif,2024-09-30 01:32:49
25844,"Sudah bagus untuk aplikasi maxim. Tolong di kembangkan lagi fiturnya agar lebih banyak yang menggunakan aplikasi Maxim, permudahkan maapnya agar customer bisa menentukan titik jemput dan antar dengan mudah, sesering mungkin lakukan sosialisasikan dengan masyarakat agar paham cara menggunakan nya. Perbanyak iklan dan promosi itu sangat perlu.",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-30 01:32:22
25845,"Sudah bagus untuk aplikasi maxim. Tolong di kembangkan lagi fiturnya agar lebih banyak yang menggunakan aplikasi Maxim, permudahkan maapnya agar customer bisa menentukan titik jemput dan antar dengan mudah, sesering mungkin lakukan sosialisasikan dengan masyarakat agar paham cara menggunakan nya. Perbanyak iklan dan promosi itu sangat perlu.",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-30 01:32:22
25846,"Sudah bagus untuk aplikasi maxim. Tolong di kembangkan lagi fiturnya agar lebih banyak yang menggunakan aplikasi Maxim, permudahkan maapnya agar customer bisa menentukan titik jemput dan antar dengan mudah, sesering mungkin lakukan sosialisasikan dengan masyarakat agar paham cara menggunakan nya. Perbanyak iklan dan promosi itu sangat perlu.",Customer Service,Positif,2024-09-30 01:32:22
25847,drivernya baik dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-30 01:10:02
25848,good job biarpun putar2 jalannya,Umum,Positif,2024-09-30 01:07:55
25849,good job biarpun putar2 jalannya,Akurasi GPS & Peta,Negatif,2024-09-30 01:07:55
25850,sangat senang dan tenang,Umum,Positif,2024-09-30 01:05:08
25851,"Hallo Maxim Tolong dong buatkan Shelter Maxim Di stasiun Bogor, demi kenyamanan driver dan penumpang, Dishelter gojek sama grab di Usirin terus tidak boleh dekat ngetem disitu . Panas terik matahari Xim,, bisa konsultasi sama Pemkot dan komunitas driver Maxim yang di Bogor..... Pasti Bisa Xim dengan adanya Shelter pasti pengguna Maxim lebih banyak. Terimakasih",Ketersediaan Driver (Lama Menunggu),Negatif,2024-09-30 01:04:56
25852,"Hallo Maxim Tolong dong buatkan Shelter Maxim Di stasiun Bogor, demi kenyamanan driver dan penumpang, Dishelter gojek sama grab di Usirin terus tidak boleh dekat ngetem disitu . Panas terik matahari Xim,, bisa konsultasi sama Pemkot dan komunitas driver Maxim yang di Bogor..... Pasti Bisa Xim dengan adanya Shelter pasti pengguna Maxim lebih banyak. Terimakasih",Umum,Positif,2024-09-30 01:04:56
25853,"penjemputan pengantaran cepat dan harga hemat dikanting , drivernya ramah dan sopan",Ketersediaan Driver (Lama Menunggu),Positif,2024-09-30 01:01:06
25854,"penjemputan pengantaran cepat dan harga hemat dikanting , drivernya ramah dan sopan",Harga & Tarif,Positif,2024-09-30 01:01:06
25855,"penjemputan pengantaran cepat dan harga hemat dikanting , drivernya ramah dan sopan",Perilaku & Profesionalisme Driver,Positif,2024-09-30 01:01:06
25856,driver sopan dan mantap,Perilaku & Profesionalisme Driver,Positif,2024-09-30 00:57:19
25857,driver sopan dan mantap,Umum,Positif,2024-09-30 00:57:19
25858,driver sangat sopan dan baik tks,Perilaku & Profesionalisme Driver,Positif,2024-09-30 00:52:10
25859,semangat terus ya pak berkah selalu,Umum,Positif,2024-09-30 00:39:24
25860,"bapaknya ramah, sehat sukses selalu pak",Perilaku & Profesionalisme Driver,Positif,2024-09-30 00:24:37
25861,"bapaknya ramah, sehat sukses selalu pak",Umum,Positif,2024-09-30 00:24:37
25862,"mantap ,cepat,tepat da nyaman",Umum,Positif,2024-09-30 00:11:05
25863,terimakasih maxim. Dengan maxim semua jadi cepat dan mudah.,Umum,Positif,2024-09-30 00:09:06
25864,cepat dan akurat...semoga Maxim tambah maju,Ketersediaan Driver (Lama Menunggu),Positif,2024-09-29 23:55:59
25865,cepat dan akurat...semoga Maxim tambah maju,Akurasi GPS & Peta,Positif,2024-09-29 23:55:59
25866,cepat dan akurat...semoga Maxim tambah maju,Umum,Positif,2024-09-29 23:55:59
25867,sangat baik sekali bapa supirnya,Perilaku & Profesionalisme Driver,Positif,2024-09-29 23:30:38
25868,respon bagus untuk perjalanan,Customer Service,Positif,2024-09-29 23:23:22
25869,responnya cepat,Customer Service,Positif,2024-09-29 23:22:01
25870,driver nya sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 23:08:05
25871,respon baik drivernya baik,Perilaku & Profesionalisme Driver,Positif,2024-09-29 21:47:45
25872,cepat dan ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-09-29 20:55:16
25873,cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 20:55:16
25874,Layanan jasa transportasi yang buruk Harga di aplikasi penumpang sama drivernya berbeda kalau mobil 12.000 tetapi di aplikasi nya drivernya 30.000 Sangat buruk sekali apa lagi kebanyakan para driver maxim meminta bayaran lebih atau berbeda dengan aplikasi penumpang nya Sangat buruk sekali,Customer Service,Negatif,2024-09-29 19:40:49
25875,Layanan jasa transportasi yang buruk Harga di aplikasi penumpang sama drivernya berbeda kalau mobil 12.000 tetapi di aplikasi nya drivernya 30.000 Sangat buruk sekali apa lagi kebanyakan para driver maxim meminta bayaran lebih atau berbeda dengan aplikasi penumpang nya Sangat buruk sekali,Harga & Tarif,Negatif,2024-09-29 19:40:49
25876,Layanan jasa transportasi yang buruk Harga di aplikasi penumpang sama drivernya berbeda kalau mobil 12.000 tetapi di aplikasi nya drivernya 30.000 Sangat buruk sekali apa lagi kebanyakan para driver maxim meminta bayaran lebih atau berbeda dengan aplikasi penumpang nya Sangat buruk sekali,Perilaku & Profesionalisme Driver,Negatif,2024-09-29 19:40:49
25877,Bisakah Maxim kirim kode otp lewat WA soalnya kalau SMS susah sekali 3 nomor hpq saya daftar tidak ada yg bisa loging karena tidak terima kode otp,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 18:25:25
25878,Susah dapat pengemudi kalau delivery barang kalau sudah mlm apalagi kalau pakai promo maxim,Ketersediaan Driver (Lama Menunggu),Negatif,2024-09-29 16:41:24
25879,Susah dapat pengemudi kalau delivery barang kalau sudah mlm apalagi kalau pakai promo maxim,Sistem Pembayaran & Promo,Negatif,2024-09-29 16:41:24
25880,pengemudi ramah dan baik,Perilaku & Profesionalisme Driver,Positif,2024-09-29 16:28:43
25881,sudah bagus pelayanannya,Umum,Positif,2024-09-29 16:26:41
25882,ramah sopan pelayanan bagus,Perilaku & Profesionalisme Driver,Positif,2024-09-29 15:54:32
25883,layanannya bagus dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-09-29 15:45:08
25884,puas dan sangat puas,Umum,Positif,2024-09-29 15:27:23
25885,"ongkos murah , driver ramah",Harga & Tarif,Positif,2024-09-29 14:56:18
25886,"ongkos murah , driver ramah",Perilaku & Profesionalisme Driver,Positif,2024-09-29 14:56:18
25887,ramah dan komunikasi nya baik banhet the best lah thanks ya mas Misran,Perilaku & Profesionalisme Driver,Positif,2024-09-29 14:45:40
25888,Driver baik dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 14:20:58
25889,"semoga sukses selalu,dengan pelayanan maxim respon cepat & akurat 👍👍",Customer Service,Positif,2024-09-29 13:39:32
25890,"semoga sukses selalu,dengan pelayanan maxim respon cepat & akurat 👍👍",Umum,Positif,2024-09-29 13:39:32
25891,sangat ramah pelayanan,Perilaku & Profesionalisme Driver,Positif,2024-09-29 12:58:06
25892,Akun Ku Ngga Bisa Login Pas Bisa Kode Masuk Ngga Ada Ku Tunggu Baru Ada Beberapa Jam Kemudian Pas Coba Lagi Ngga Bs Karena Permintaan Login Telah Terlampaui Padhal Kan Baru 2-3 × Ku cb ulang2 Eh Kok Malah Kyk Keblock Aneh Emang Ni Apk Padhal Dulu Rating 5 Sekarang 1 aja,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 12:37:37
25893,Akun Ku Ngga Bisa Login Pas Bisa Kode Masuk Ngga Ada Ku Tunggu Baru Ada Beberapa Jam Kemudian Pas Coba Lagi Ngga Bs Karena Permintaan Login Telah Terlampaui Padhal Kan Baru 2-3 × Ku cb ulang2 Eh Kok Malah Kyk Keblock Aneh Emang Ni Apk Padhal Dulu Rating 5 Sekarang 1 aja,UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-09-29 12:37:37
25894,Kagak niat bikin aplikasi ngurus aja masih kagak bener apalagi mau narik aja harus datang ke kantor aplikasi ribet,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 12:33:59
25895,Kagak niat bikin aplikasi ngurus aja masih kagak bener apalagi mau narik aja harus datang ke kantor aplikasi ribet,Customer Service,Negatif,2024-09-29 12:33:59
25896,"Terimakasih bang untuk pelayanannya, saya puas. Semoga sehat selalu & lancar rezekinya.",Perilaku & Profesionalisme Driver,Positif,2024-09-29 12:26:48
25897,"Terimakasih bang untuk pelayanannya, saya puas. Semoga sehat selalu & lancar rezekinya.",Umum,Positif,2024-09-29 12:26:48
25898,"Abang Maximnya sabar banget, padahal aku salah order alamat tapi mau samperin . dan nunggu juga ga lama. Terimakasih .",Perilaku & Profesionalisme Driver,Positif,2024-09-29 12:22:16
25899,"Abang Maximnya sabar banget, padahal aku salah order alamat tapi mau samperin . dan nunggu juga ga lama. Terimakasih .",Ketersediaan Driver (Lama Menunggu),Positif,2024-09-29 12:22:16
25900,"ramah, dan baik",Perilaku & Profesionalisme Driver,Positif,2024-09-29 12:19:25
25901,"drivernya ramah ,,dan nyaman nyopirnya 👍👍",Perilaku & Profesionalisme Driver,Positif,2024-09-29 12:12:14
25902,cepat dan nyaman,Ketersediaan Driver (Lama Menunggu),Positif,2024-09-29 11:57:04
25903,cepat dan nyaman,Kondisi Kendaraan Driver,Positif,2024-09-29 11:57:04
25904,Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,Ketersediaan Driver (Lama Menunggu),Negatif,2024-09-29 11:56:25
25905,Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 11:56:25
25906,Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,Perilaku & Profesionalisme Driver,Negatif,2024-09-29 11:56:25
25907,Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,Sistem Pembayaran & Promo,Negatif,2024-09-29 11:56:25
25908,Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 11:56:25
25909,pelayanan sangat 👍,Umum,Positif,2024-09-29 11:52:58
25910,driver yg baik dan sangat sopan,Perilaku & Profesionalisme Driver,Positif,2024-09-29 11:52:36
25911,"ramah kurirnya, yakin aman deh sampai tujuan",Perilaku & Profesionalisme Driver,Positif,2024-09-29 11:50:52
25912,"ramah kurirnya, yakin aman deh sampai tujuan",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-29 11:50:52
25913,"pelayanan sangat bgus, seterusnya tetap semangat 💪💪",Umum,Positif,2024-09-29 11:43:11
25914,"ibu nya ramah banget dan pinjatan nya enak nampol banget,.. jadi levih fresh 😊",Perilaku & Profesionalisme Driver,Positif,2024-09-29 11:40:52
25915,layanan gak berkualitas.,Umum,Negatif,2024-09-29 11:17:22
25916,ok cepat pengantaran aman dan sopan orangnya,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-29 11:15:41
25917,ok cepat pengantaran aman dan sopan orangnya,Perilaku & Profesionalisme Driver,Positif,2024-09-29 11:15:41
25918,"Driver bagus, Mobil nyaman, bersih TOP",Perilaku & Profesionalisme Driver,Positif,2024-09-29 11:15:00
25919,"Driver bagus, Mobil nyaman, bersih TOP",Kondisi Kendaraan Driver,Positif,2024-09-29 11:15:00
25920,"kek.. setiap pesen maxim tu gaperna gercep pasti selalu telat aplg pagi pagi, ya salah jalan lah, harus nya kesini malah kesana",Ketersediaan Driver (Lama Menunggu),Negatif,2024-09-29 11:12:51
25921,"kek.. setiap pesen maxim tu gaperna gercep pasti selalu telat aplg pagi pagi, ya salah jalan lah, harus nya kesini malah kesana",Akurasi GPS & Peta,Negatif,2024-09-29 11:12:51
25922,ramah keren sopan ganteng pokok nya the best,Umum,Positif,2024-09-29 10:46:03
25923,sangat baik dan ramah drivernya,Perilaku & Profesionalisme Driver,Positif,2024-09-29 10:31:54
25924,pelayanan sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 10:09:54
25925,pelayanan nya sangat baik,Customer Service,Positif,2024-09-29 09:01:37
25926,drivernya cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 08:38:25
25927,mau pesan food aja susah bener.. burik,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-09-29 07:46:13
25928,mau pesan food aja susah bener.. burik,Umum,Negatif,2024-09-29 07:46:13
25929,Kenapa saya gk bisa login di maxim sudah berapa kali saya coba hasilnya sama gk bisa tolong perbaiki,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 07:44:00
25930,Kenapa tidak tampil riwayat orderan saya yang di bandung,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 07:28:30
25931,driver nya ramah dan baik,Perilaku & Profesionalisme Driver,Positif,2024-09-29 07:22:54
25932,sangat memuaskan pelayanan nya,Umum,Positif,2024-09-29 07:17:08
25933,pelayanan nya super baik . sopan ramah 👍👍,Perilaku & Profesionalisme Driver,Positif,2024-09-29 07:09:50
25934,aplikasi eror di suruh masukin nomor telepon tungguin kode nya gak ada tuh kode nya kekirim kirim,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-29 06:36:39
25935,"TRIMAKASIH PAK DRIVER RAMAH & SANTUN , SEHAT N SUKSES SLALU",Perilaku & Profesionalisme Driver,Positif,2024-09-29 06:17:01
25936,"Mohon kepada admin, agar bisa mengatur lebih cepatnya masuk uang kaspro. Karena butuh waktu lama transferan uang untuk kaspro masuk",Sistem Pembayaran & Promo,Negatif,2024-09-29 06:09:38
25937,"mantap amanah driver nya,terima kasih",Perilaku & Profesionalisme Driver,Positif,2024-09-29 05:21:18
25938,pelayanan bagus dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-29 05:09:58
25939,pengemudi ramah mengendara dgn baik,Perilaku & Profesionalisme Driver,Positif,2024-09-29 04:53:50
25940,pengemudi ramah mengendara dgn baik,Perilaku & Profesionalisme Driver,Positif,2024-09-29 04:53:50
25941,"pelayanan driver sangat tidak ramah👎👎👎👎👎👎👎👎👎👎👎 ➖️1️⃣. ngasih orderan sambil marah marah ga jelas dan ngedumel, bilang nya udah nunggu satu jam kepanasan pdhl 10 menit yg lalu orang rumah keluar ga ada siapa-siapa, ngasih orderan pun ga benerr disuruh ambil sendiri di tanah yang terbilang ini orderan cukup berat MAKSUDNYA APA????? sambil ngatain customer yang bikin sakit hati.plis lah perbaikin attitude driver nya udah 2x loh giniiiii. apa emng driver maxim gini semuaaa??????????????",Perilaku & Profesionalisme Driver,Negatif,2024-09-29 04:42:07
25942,mantap orderan cepat sampai kalau ada bintang 10 saya kasi 10 bintang tetap semangat jangan kasi kendor om💪💪💪,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-29 04:34:16
25943,mantap orderan cepat sampai kalau ada bintang 10 saya kasi 10 bintang tetap semangat jangan kasi kendor om💪💪💪,Umum,Positif,2024-09-29 04:34:16
25944,BPK nya baik ramah sekali cpt pengantaran nya is the best,Perilaku & Profesionalisme Driver,Positif,2024-09-29 04:24:27
25945,BPK nya baik ramah sekali cpt pengantaran nya is the best,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-29 04:24:27
25946,"terimakasih pak,,semoga sehat selalu dan panjang umur",Umum,Positif,2024-09-29 03:44:05
25947,"Order telah dipenuhi oleh: Muhammad Rizal Solin dengan Motorcycle, warna merah, nopol BK2655VBU. Terima kasih atas perjalanan Anda! Rating ⭐⭐⭐⭐⭐(4.90)",Umum,Positif,2024-09-29 03:34:57
25948,ramah dan sangat membantu terima kasih,Perilaku & Profesionalisme Driver,Positif,2024-09-29 03:34:45
25949,mantap drivernya jg sopan....sukses selalu buat Maxim dan para driver nya...,Perilaku & Profesionalisme Driver,Positif,2024-09-29 03:31:56
25950,mantap drivernya jg sopan....sukses selalu buat Maxim dan para driver nya...,Umum,Positif,2024-09-29 03:31:56
25951,Buat pembayaran Uang elektronik. Cash susah,Sistem Pembayaran & Promo,Negatif,2024-09-29 03:00:45
25952,"Plis tolong bilang ke drivernya biar lebih amanah lagi, ga usah nerima orderan kalo ujung""nya dicancel saya udah muakk sama drama driver maxim, freak!!!",Pembatalan oleh Driver,Negatif,2024-09-29 02:30:50
25953,"Plis tolong bilang ke drivernya biar lebih amanah lagi, ga usah nerima orderan kalo ujung""nya dicancel saya udah muakk sama drama driver maxim, freak!!!",Perilaku & Profesionalisme Driver,Negatif,2024-09-29 02:30:50
25954,mantap layanan baik,Umum,Positif,2024-09-29 01:52:38
25955,mantap layanan baik,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-09-29 01:52:38
25956,"Biaya saat menaikan penumpang dan menurunkan penumpang berbeda,harusnya di perbaiki,saya menyesal pakai ojol ini.",Harga & Tarif,Negatif,2024-09-29 01:46:55
25957,"Biaya saat menaikan penumpang dan menurunkan penumpang berbeda,harusnya di perbaiki,saya menyesal pakai ojol ini.",Umum,Negatif,2024-09-29 01:46:55
25958,"aplikasi nya bagus, tapi bisa di bikin ada kirim foto nya gitu? biar mudah juga",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-29 01:40:35
25959,"aplikasi nya bagus, tapi bisa di bikin ada kirim foto nya gitu? biar mudah juga",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-29 01:40:35
25960,"Terima kasih banyak, semoga sukses selalu. amiin",Umum,Positif,2024-09-29 01:17:33
25961,bapaknya baik mengantarkan kita dgn selamat,Perilaku & Profesionalisme Driver,Positif,2024-09-28 23:27:59
25962,"Dari kemarin aplikasi gua keluar,, eh pas gua mau masukin lagi kenapa serial kodenya enga muncul2🤦‍♀️😤 sampai akhirnya nomer gua enga bisa di daftarin lagi di aplikasi maxim, mksdnya apaan sih ah udah enga ngasih kode serial sekarang nomer gua blas enga bisa di daftarin di aplikasi ini 🤧 enga jelas amat dah 😡😒, ,, udah tau gua perlu buat berpergian make aplikasi ini kalo nomer gua enga bisa di daftarin gimana astaghfirullah 😤",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-28 23:19:08
25963,"Dari kemarin aplikasi gua keluar,, eh pas gua mau masukin lagi kenapa serial kodenya enga muncul2🤦‍♀️😤 sampai akhirnya nomer gua enga bisa di daftarin lagi di aplikasi maxim, mksdnya apaan sih ah udah enga ngasih kode serial sekarang nomer gua blas enga bisa di daftarin di aplikasi ini 🤧 enga jelas amat dah 😡😒, ,, udah tau gua perlu buat berpergian make aplikasi ini kalo nomer gua enga bisa di daftarin gimana astaghfirullah 😤",UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-09-28 23:19:08
25964,pelayanan yang baik mas pengemudi ya ramah,Perilaku & Profesionalisme Driver,Positif,2024-09-28 22:05:22
25965,"tepat waktu,trimah ksih maxim",Ketersediaan Driver (Lama Menunggu),Positif,2024-09-28 19:56:13
25966,"tepat waktu,trimah ksih maxim",Umum,Positif,2024-09-28 19:56:13
25967,mantap lebih cepat dari apk yg lain,Umum,Positif,2024-09-28 19:38:35
25968,mantap lebih cepat dari apk yg lain,Ketersediaan Driver (Lama Menunggu),Positif,2024-09-28 19:38:35
25969,"pelayanan buruk dapat pengemudi cabul, bagaimana ini maxim, semoga dapat di perbaiki sistem nya, agar dapat melaporkan hal yang tidak di inginkan,",Perilaku & Profesionalisme Driver,Negatif,2024-09-28 17:09:04
25970,"pelayanan buruk dapat pengemudi cabul, bagaimana ini maxim, semoga dapat di perbaiki sistem nya, agar dapat melaporkan hal yang tidak di inginkan,",UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-09-28 17:09:04
25971,Secara keseluruhan pelayanannya sudah baik kekurangan dari maksim adalah susahnya mencari lokasi penjemputan dan lokasi Tujuan pada menu lokasi.,Umum,Positif,2024-09-28 16:37:20
25972,Secara keseluruhan pelayanannya sudah baik kekurangan dari maksim adalah susahnya mencari lokasi penjemputan dan lokasi Tujuan pada menu lokasi.,Akurasi GPS & Peta,Negatif,2024-09-28 16:37:20
25973,"Gak bisa masuk ke akun karena limit kode otp,padahal belum ada kode otp yg masuk😭😭😭",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-09-28 16:24:08
25974,"untuk aplikasinya sudah sangat bagus, terutama ongkosnya yang sangat terjangkau dibandingkan dengan aplikasi yang lain dan hal ini sangat membantu, untuk pembayarannya saya sangat mengharapkan ditambahkan pembayaran dengan dana karena jika melalului kas pro terlalu ribet. Untuk update selanjutnya saya harap fitur ini ditambahkan",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-09-28 16:19:15
25975,"untuk aplikasinya sudah sangat bagus, terutama ongkosnya yang sangat terjangkau dibandingkan dengan aplikasi yang lain dan hal ini sangat membantu, untuk pembayarannya saya sangat mengharapkan ditambahkan pembayaran dengan dana karena jika melalului kas pro terlalu ribet. Untuk update selanjutnya saya harap fitur ini ditambahkan",Harga & Tarif,Positif,2024-09-28 16:19:15
25976,"untuk aplikasinya sudah sangat bagus, terutama ongkosnya yang sangat terjangkau dibandingkan dengan aplikasi yang lain dan hal ini sangat membantu, untuk pembayarannya saya sangat mengharapkan ditambahkan pembayaran dengan dana karena jika melalului kas pro terlalu ribet. Untuk update selanjutnya saya harap fitur ini ditambahkan",Sistem Pembayaran & Promo,Negatif,2024-09-28 16:19:15
25977,sangat baik dan bisa membuat masyarakat,Umum,Positif,2024-09-28 16:18:43
